epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,753.684,1.45941,2.36908,1.68301,0.9919,0.84197,0.98463,0.57121,1.26485,2.36942,1.40269,0.00065625,0.00065625,0.00065625
2,1402.89,1.33722,1.44764,1.45279,0.98277,0.96564,0.99249,0.59665,1.29317,1.15538,1.4403,0.00119195,0.00119195,0.00119195
3,1938.73,1.2878,1.12981,1.42157,0.79208,0.53674,0.66331,0.33572,1.74571,1.95713,1.75659,0.00159565,0.00159565,0.00159565
4,2471.43,1.27341,0.90108,1.39477,0.99124,0.98625,0.99455,0.58598,1.34358,0.85384,1.40687,0.001406,0.001406,0.001406
5,3012.79,1.23931,0.76351,1.35291,0.98293,0.98928,0.99427,0.63475,1.20783,0.69514,1.28868,0.001208,0.001208,0.001208
6,3496.66,1.22949,0.70879,1.34857,0.99654,0.99095,0.99497,0.61999,1.23663,0.68101,1.32834,0.00101,0.00101,0.00101
